rank,finalWorth,category,personName,age,country,city,source,gender,title,population_country
352,6800,Finance & Investments,David Siegel,61,United States,Scarsdale,Hedge funds,M,Investor,328239523
352,6800,Energy,Randa Duncan Williams,61,United States,Houston,Pipelines,F,Non-Executive Chairman of the Board,328239523
352,6800,Diversified,Viktor Vekselberg,65,Russia,Moscow,"Metals, investments",M,,144373535
352,6800,Diversified,Silvio Berlusconi & family,86,Italy,Milan,Media,M,,60297396
352,6800,Technology,Gordon Moore,94,United States,Woodside,Intel,M,Cofounder and Chairman Emeritus,328239523
365,6700,Manufacturing,Agnete Kirk Thinggaard,39,Denmark,Billund,Lego,F,,5818553
365,6700,Manufacturing,Thomas Kirk Kristiansen,44,Denmark,Billund,Lego,M,,5818553
365,6700,Manufacturing,Sofie Kirk Kristiansen,47,Denmark,Billund,Lego,F,,5818553
365,6700,Manufacturing,Magdalena Martullo-Blocher,54,Switzerland,Feldmeilen,Chemicals,F,,8574832
365,6700,Automotive,Li Ping,55,China,Ningde,Batteries,M,,1397715000
365,6700,Telecom,Xavier Niel,55,France,Paris,"Internet, telecom",M,,67059887
365,6700,Finance & Investments,Christopher Hohn,56,United Kingdom,London,Hedge funds,M,Investor,66834405
365,6700,Manufacturing,Lin Jianhua,60,China,Hangzhou,Solar panel components,M,,1397715000
365,6700,Food & Beverage,Xu Shihui,65,China,Quanzhou,"Snacks, beverages",M,,1397715000
365,6700,Technology,David Sun,71,United States,Irvine,Computer hardware,M,COO,328239523
365,6700,Finance & Investments,Ken Fisher,72,United States,Dallas,Money management,M,,328239523
365,6700,Energy,Terrence Pegula,72,United States,Boca Raton,Natural gas,M,Owner,328239523
365,6700,Manufacturing,Kjeld Kirk Kristiansen,75,Denmark,Billund,Lego,M,,5818553
365,6700,Healthcare,Massimiliana Landini Aleotti & family,80,Italy,Fiesole,Pharmaceuticals,F,,60297396
365,6700,Technology,John Tu,81,United States,Rolling Hills,Computer hardware,M,President,328239523
365,6700,Real Estate,John A. Sobrato & family,83,United States,Atherton,Real estate,M,Founder and Chairman,328239523
365,6700,Real Estate,"Edward Roski, Jr.",84,United States,Los Angeles,Real estate,M,President and Chairman,328239523
365,6700,Finance & Investments,George Soros,92,United States,Katonah,Hedge funds,M,Founder,328239523
383,6600,Manufacturing,Rahel Blocher,47,Switzerland,Wilen bei Wollerau,Chemicals,F,,8574832
